state,year,stock_change
New Hampshire,2015,5.73
New Jersey,2015,5.73
New Mexico,2015,5.73
New York,2015,5.73
North Carolina,2015,5.73
North Dakota,2015,5.73
Ohio,2015,5.73
Oklahoma,2015,5.73
Oregon,2015,5.73
Pennsylvania,2015,5.73
Rhode Island,2015,5.73
South Carolina,2015,5.73
South Dakota,2015,5.73
Texas,2015,5.73
Utah,2015,5.73
Vermont,2015,5.73
Virginia,2015,5.73
Washington,2015,5.73
West Virginia,2015,5.73
Wisconsin,2015,5.73
Wyoming,2015,5.73
Alabama,2016,7.5
Alaska,2016,7.5
Arizona,2016,7.5
Arkansas,2016,7.5
California,2016,7.5
Colorado,2016,7.5
Connecticut,2016,7.5
Delaware,2016,7.5
District of Columbia,2016,7.5
Florida,2016,7.5
Georgia,2016,7.5
Hawaii,2016,7.5
Idaho,2016,7.5
Illinois,2016,7.5
Indiana,2016,7.5
Iowa,2016,7.5
Kansas,2016,7.5
Kentucky,2016,7.5
Louisiana,2016,7.5
Maine,2016,7.5
Maryland,2016,7.5
Massachusetts,2016,7.5
Michigan,2016,7.5
Minnesota,2016,7.5
Mississippi,2016,7.5
Missouri,2016,7.5
Montana,2016,7.5
Nebraska,2016,7.5
Nevada,2016,7.5
New Hampshire,2016,7.5
New Jersey,2016,7.5
New Mexico,2016,7.5
New York,2016,7.5
North Carolina,2016,7.5
North Dakota,2016,7.5
Ohio,2016,7.5
Oklahoma,2016,7.5
Oregon,2016,7.5
Pennsylvania,2016,7.5
Rhode Island,2016,7.5
South Carolina,2016,7.5
South Dakota,2016,7.5
Texas,2016,7.5
Utah,2016,7.5
Vermont,2016,7.5
Virginia,2016,7.5
Washington,2016,7.5
West Virginia,2016,7.5
Wisconsin,2016,7.5
Wyoming,2016,7.5
