year,state,hs_grad,rank_a,bachelors,rank_b,adv_degree,rank_c
2014,West Virginia,85,42,19.2,50,7.4,50
2015,West Virginia,85,42,19.2,50,7.4,50
2000,Wisconsin,91,11,27.8,27,9.4,33
2001,Wisconsin,91,11,27.8,27,9.4,33
2002,Wisconsin,91,11,27.8,27,9.4,33
2003,Wisconsin,91,11,27.8,27,9.4,33
2004,Wisconsin,91,11,27.8,27,9.4,33
2005,Wisconsin,91,11,27.8,27,9.4,33
2006,Wisconsin,91,11,27.8,27,9.4,33
2007,Wisconsin,91,11,27.8,27,9.4,33
2008,Wisconsin,91,11,27.8,27,9.4,33
2009,Wisconsin,91,11,27.8,27,9.4,33
2010,Wisconsin,91,11,27.8,27,9.4,33
2011,Wisconsin,91,11,27.8,27,9.4,33
2012,Wisconsin,91,11,27.8,27,9.4,33
2013,Wisconsin,91,11,27.8,27,9.4,33
2014,Wisconsin,91,11,27.8,27,9.4,33
2015,Wisconsin,91,11,27.8,27,9.4,33
2000,Wyoming,92.3,3,25.7,40,8.6,40
2001,Wyoming,92.3,3,25.7,40,8.6,40
2002,Wyoming,92.3,3,25.7,40,8.6,40
2003,Wyoming,92.3,3,25.7,40,8.6,40
2004,Wyoming,92.3,3,25.7,40,8.6,40
2005,Wyoming,92.3,3,25.7,40,8.6,40
2006,Wyoming,92.3,3,25.7,40,8.6,40
2007,Wyoming,92.3,3,25.7,40,8.6,40
2008,Wyoming,92.3,3,25.7,40,8.6,40
2009,Wyoming,92.3,3,25.7,40,8.6,40
2010,Wyoming,92.3,3,25.7,40,8.6,40
2011,Wyoming,92.3,3,25.7,40,8.6,40
2012,Wyoming,92.3,3,25.7,40,8.6,40
2013,Wyoming,92.3,3,25.7,40,8.6,40
2014,Wyoming,92.3,3,25.7,40,8.6,40
2015,Wyoming,92.3,3,25.7,40,8.6,40
