,year,state,hs_grad,rank_a,bachelors,rank_b,adv_degree,rank_c,avg_income,dem_name,rep_name,dem_spend,rep_spend,dem_pac,rep_pac,inflation_rate,poverty_rate,stock_change,unemployment_rate,perc_urban,rep_sen,rep_house,campaign_fund,rep_legis,rep_win,stateGDP
1042,2002,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1043,2003,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1044,2004,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1045,2005,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1046,2006,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1047,2007,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1048,2008,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1049,2009,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1050,2010,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1051,2011,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1052,2012,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1053,2013,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1054,2014,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1055,2015,United States,86.7,,29.8,,11.2,,,,,,,,,,,,,,,,,,,
1056,1992,Utah,91.2,10.0,31.1,15.0,10.4,23.0,,,,,,,,2.9,,15.45,5.3,,,,,,,
1057,1993,Utah,91.2,10.0,31.1,15.0,10.4,23.0,,,,,,,,2.75,,14.75,4.8,,,,,,,
1058,1994,Utah,91.2,10.0,31.1,15.0,10.4,23.0,,,,,,,,2.67,,-3.2,4.0,,,,,,,
1059,1995,Utah,91.2,10.0,31.1,15.0,10.4,23.0,,,,,,,,2.54,,39.92,4.1,,,,,,,
1060,1996,Utah,91.2,10.0,31.1,15.0,10.4,23.0,,,,,,,,3.32,,22.71,3.6,,,,,,,
1061,1997,Utah,91.2,10.0,31.1,15.0,10.4,23.0,,,,,,,,1.7,,21.64,3.5,,,,,,,
1062,1998,Utah,91.2,10.0,31.1,15.0,10.4,23.0,,,,,,,,1.61,,39.63,3.7,,,,,,,
1063,1999,Utah,91.2,10.0,31.1,15.0,10.4,23.0,,,,,,,,2.68,,85.59,3.9,,,,,,,
1064,2000,Utah,91.2,10.0,31.1,15.0,10.4,23.0,65707.0,Gore,G.W. Bush,120.3,186.5,0.0,0.0,3.39,8.8,-39.29,3.4,88.2,0.55,0.5195,0.6079,69.0,1.0,0.8653889162231071
1065,2001,Utah,91.2,10.0,31.1,15.0,10.4,23.0,65397.0,,,,,,,1.55,8.6,-21.05,4.1,88.5,,,,,,
1066,2002,Utah,91.2,10.0,31.1,15.0,10.4,23.0,65834.0,,,,,,,2.38,10.5,-31.53,5.7,88.8,,,,,,
1067,2003,Utah,91.2,10.0,31.1,15.0,10.4,23.0,66178.0,,,,,,,1.88,10.6,50.01,6.2,89.1,,,,,,
1068,2004,Utah,91.2,10.0,31.1,15.0,10.4,23.0,68970.0,Kerry,G.W. Bush,332.7,355.0,0.0,0.0,3.26,10.9,8.59,5.7,89.25,0.51,0.5264,0.5162,75.0,1.0,0.8527760051052969
1069,2005,Utah,91.2,10.0,31.1,15.0,10.4,23.0,66579.0,,,,,,,3.42,10.2,1.37,4.7,89.4,,,,,,
1070,2006,Utah,91.2,10.0,31.1,15.0,10.4,23.0,63440.0,,,,,,,2.54,10.6,9.52,3.8,89.55,,,,,,
1071,2007,Utah,91.2,10.0,31.1,15.0,10.4,23.0,71375.0,,,,,,,4.08,9.7,9.81,2.7,89.7,,,,,,
1072,2008,Utah,91.2,10.0,31.1,15.0,10.4,23.0,66990.0,Obama,McCain,760.4,239.7,0.0,0.0,0.09,9.6,-40.54,3.3,90.0,0.49,0.4644,0.2397,73.0,1.0,0.8961591702650771
1073,2009,Utah,91.2,10.0,31.1,15.0,10.4,23.0,63886.0,,,,,,,2.72,11.5,43.89,6.6,90.3,,,,,,
1074,2010,Utah,91.2,10.0,31.1,15.0,10.4,23.0,60614.0,,,,,,,1.5,13.2,16.91,8.4,90.6,,,,,,
1075,2011,Utah,91.2,10.0,31.1,15.0,10.4,23.0,62403.0,,,,,,,2.96,13.5,-1.8,7.9,,,,,,,
1076,2012,Utah,91.2,10.0,31.1,15.0,10.4,23.0,66368.0,Obama,Romney,737.1,458.7,70.5,143.3,1.74,12.8,15.91,6.2,,0.51,0.5563,0.396,77.0,1.0,0.870506883734452
1077,2013,Utah,91.2,10.0,31.1,15.0,10.4,23.0,64344.0,,,,,,,1.5,12.7,38.32,5.4,,,,,,,
1078,2014,Utah,91.2,10.0,31.1,15.0,10.4,23.0,65694.0,,,,,,,0.76,11.7,13.4,4.4,,,,,,,
1079,2015,Utah,91.2,10.0,31.1,15.0,10.4,23.0,68556.0,,,,,,,0.73,11.3,5.73,3.9,,,,,,,
1080,1992,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,,,,,,,,2.9,,15.45,7.5,,,,,,,
1081,1993,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,,,,,,,,2.75,,14.75,6.4,,,,,,,
1082,1994,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,,,,,,,,2.67,,-3.2,5.8,,,,,,,
1083,1995,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,,,,,,,,2.54,,39.92,5.1,,,,,,,
1084,1996,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,,,,,,,,3.32,,22.71,5.2,,,,,,,
1085,1997,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,,,,,,,,1.7,,21.64,4.9,,,,,,,
1086,1998,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,,,,,,,,1.61,,39.63,4.4,,,,,,,
1087,1999,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,,,,,,,,2.68,,85.59,3.9,,,,,,,
1088,2000,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,56619.0,Gore,G.W. Bush,120.3,186.5,0.0,0.0,3.39,10.7,-39.29,3.4,38.2,0.55,0.5195,0.6079,44.0,0.0,0.8190275976204321
1089,2001,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,58753.0,,,,,,,1.55,10.4,-21.05,3.7,38.2875,,,,,,
1090,2002,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,57799.0,,,,,,,2.38,8.5,-31.53,4.4,38.375,,,,,,
1091,2003,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,61570.0,,,,,,,1.88,9.7,50.01,5.1,38.4625,,,,,,
1092,2004,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,63800.0,Kerry,G.W. Bush,332.7,355.0,0.0,0.0,3.26,9.0,8.59,4.8,38.50625,0.51,0.5264,0.5162,47.0,0.0,0.8756647521803871
1093,2005,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,63353.0,,,,,,,3.42,11.5,1.37,4.2,38.55,,,,,,
1094,2006,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,56165.0,,,,,,,2.54,10.3,9.52,4.3,38.59375,,,,,,
1095,2007,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,57872.0,,,,,,,4.08,10.1,9.81,4.6,38.6375,,,,,,
1096,2008,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,59920.0,Obama,McCain,760.4,239.7,0.0,0.0,0.09,10.6,-40.54,5.0,38.725,0.49,0.4644,0.2397,31.0,0.0,0.8628747339930992
1097,2009,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,63015.0,,,,,,,2.72,11.4,43.89,6.8,38.8125,,,,,,
1098,2010,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,56648.0,,,,,,,1.5,12.7,16.91,7.0,38.9,,,,,,
1099,2011,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,59452.0,,,,,,,2.96,11.5,-1.8,6.6,,,,,,,
1100,2012,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,57804.0,Obama,Romney,737.1,458.7,70.5,143.3,1.74,11.8,15.91,5.8,,0.51,0.5563,0.396,31.0,0.0,0.8938472080902049
1101,2013,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,69052.0,,,,,,,1.5,12.3,38.32,5.2,,,,,,,
1102,2014,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,62922.0,,,,,,,0.76,12.2,13.4,4.7,,,,,,,
1103,2015,Vermont,91.8,6.0,36.0,7.0,14.3,6.0,61557.0,,,,,,,0.73,10.2,5.73,4.4,,,,,,,
1104,1992,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,,,,,,,,2.9,,15.45,7.1,,,,,,,
1105,1993,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,,,,,,,,2.75,,14.75,6.2,,,,,,,
1106,1994,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,,,,,,,,2.67,,-3.2,5.7,,,,,,,
1107,1995,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,,,,,,,,2.54,,39.92,5.0,,,,,,,
1108,1996,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,,,,,,,,3.32,,22.71,5.3,,,,,,,
1109,1997,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,,,,,,,,1.7,,21.64,5.0,,,,,,,
1110,1998,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,,,,,,,,1.61,,39.63,3.5,,,,,,,
1111,1999,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,,,,,,,,2.68,,85.59,3.0,,,,,,,
1112,2000,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,69731.0,Gore,G.W. Bush,120.3,186.5,0.0,0.0,3.39,9.2,-39.29,2.9,73.0,0.55,0.5195,0.6079,52.0,1.0,1.05812497204455
1113,2001,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,67815.0,,,,,,,1.55,9.3,-21.05,2.6,73.3125,,,,,,
1114,2002,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,73193.0,,,,,,,2.38,9.9,-31.53,4.6,73.625,,,,,,
1115,2003,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,66529.0,,,,,,,1.88,9.0,50.01,4.6,73.9375,,,,,,
1116,2004,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,65322.0,Kerry,G.W. Bush,332.7,355.0,0.0,0.0,3.26,9.5,8.59,4.3,74.09375,0.51,0.5264,0.5162,61.0,1.0,1.0721123165284001
1117,2005,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,69615.0,,,,,,,3.42,10.0,1.37,3.9,74.25,,,,,,
1118,2006,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,70115.0,,,,,,,2.54,9.6,9.52,3.3,74.40625,,,,,,
1119,2007,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,70745.0,,,,,,,4.08,9.9,9.81,3.3,74.5625,,,,,,
1120,2008,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,69292.0,Obama,McCain,760.4,239.7,0.0,0.0,0.09,10.2,-40.54,3.7,74.875,0.49,0.4644,0.2397,51.0,0.0,1.07404805685833
1121,2009,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,68017.0,,,,,,,2.72,10.5,43.89,6.1,75.1875,,,,,,
1122,2010,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,68394.0,,,,,,,1.5,11.1,16.91,7.9,75.5,,,,,,
1123,2011,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,69132.0,,,,,,,2.96,11.5,-1.8,7.1,,,,,,,
1124,2012,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,71272.0,Obama,Romney,737.1,458.7,70.5,143.3,1.74,11.7,15.91,6.6,,0.51,0.5563,0.396,62.0,0.0,1.07020786178541
1125,2013,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,69467.0,,,,,,,1.5,11.7,38.32,6.4,,,,,,,
1126,2014,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,68567.0,,,,,,,0.76,11.8,13.4,5.7,,,,,,,
1127,2015,Virginia,88.3,29.0,36.3,6.0,15.4,4.0,63618.0,,,,,,,0.73,11.2,5.73,5.2,,,,,,,
1128,1992,Washington,90.4,16.0,32.9,11.0,12.0,13.0,,,,,,,,2.9,,15.45,8.1,,,,,,,
1129,1993,Washington,90.4,16.0,32.9,11.0,12.0,13.0,,,,,,,,2.75,,14.75,8.9,,,,,,,
1130,1994,Washington,90.4,16.0,32.9,11.0,12.0,13.0,,,,,,,,2.67,,-3.2,8.0,,,,,,,
1131,1995,Washington,90.4,16.0,32.9,11.0,12.0,13.0,,,,,,,,2.54,,39.92,7.1,,,,,,,
1132,1996,Washington,90.4,16.0,32.9,11.0,12.0,13.0,,,,,,,,3.32,,22.71,7.5,,,,,,,
1133,1997,Washington,90.4,16.0,32.9,11.0,12.0,13.0,,,,,,,,1.7,,21.64,6.1,,,,,,,
1134,1998,Washington,90.4,16.0,32.9,11.0,12.0,13.0,,,,,,,,1.61,,39.63,5.6,,,,,,,
1135,1999,Washington,90.4,16.0,32.9,11.0,12.0,13.0,,,,,,,,2.68,,85.59,5.6,,,,,,,
1136,2000,Washington,90.4,16.0,32.9,11.0,12.0,13.0,58973.0,Gore,G.W. Bush,120.3,186.5,0.0,0.0,3.39,11.6,-39.29,5.7,82.0,0.55,0.5195,0.6079,48.0,0.0,1.1196269624726
1137,2001,Washington,90.4,16.0,32.9,11.0,12.0,13.0,61738.0,,,,,,,1.55,10.8,-21.05,6.3,82.25,,,,,,
1138,2002,Washington,90.4,16.0,32.9,11.0,12.0,13.0,63473.0,,,,,,,2.38,11.4,-31.53,8.3,82.5,,,,,,
1139,2003,Washington,90.4,16.0,32.9,11.0,12.0,13.0,64944.0,,,,,,,1.88,11.0,50.01,8.1,82.75,,,,,,
1140,2004,Washington,90.4,16.0,32.9,11.0,12.0,13.0,63727.0,Kerry,G.W. Bush,332.7,355.0,0.0,0.0,3.26,13.1,8.59,7.7,82.875,0.51,0.5264,0.5162,48.0,0.0,1.05098915124442
1141,2005,Washington,90.4,16.0,32.9,11.0,12.0,13.0,66695.0,,,,,,,3.42,11.9,1.37,6.4,83.0,,,,,,
1142,2006,Washington,90.4,16.0,32.9,11.0,12.0,13.0,68834.0,,,,,,,2.54,11.8,9.52,5.6,83.125,,,,,,
1143,2007,Washington,90.4,16.0,32.9,11.0,12.0,13.0,64634.0,,,,,,,4.08,11.4,9.81,5.5,83.25,,,,,,
1144,2008,Washington,90.4,16.0,32.9,11.0,12.0,13.0,69167.0,Obama,McCain,760.4,239.7,0.0,0.0,0.09,11.3,-40.54,5.3,83.5,0.49,0.4644,0.2397,35.0,0.0,1.1350798537220301
1145,2009,Washington,90.4,16.0,32.9,11.0,12.0,13.0,63280.0,,,,,,,2.72,12.3,43.89,7.9,83.75,,,,,,
1146,2010,Washington,90.4,16.0,32.9,11.0,12.0,13.0,62096.0,,,,,,,1.5,13.4,16.91,11.3,84.0,,,,,,
1147,2011,Washington,90.4,16.0,32.9,11.0,12.0,13.0,66517.0,,,,,,,2.96,13.9,-1.8,10.5,,,,,,,
1148,2012,Washington,90.4,16.0,32.9,11.0,12.0,13.0,63353.0,Obama,Romney,737.1,458.7,70.5,143.3,1.74,13.5,15.91,9.4,,0.51,0.5563,0.396,44.0,0.0,1.10935066553149
1149,2013,Washington,90.4,16.0,32.9,11.0,12.0,13.0,67375.0,,,,,,,1.5,14.1,38.32,8.4,,,,,,,
1150,2014,Washington,90.4,16.0,32.9,11.0,12.0,13.0,61222.0,,,,,,,0.76,13.2,13.4,7.1,,,,,,,
1151,2015,Washington,90.4,16.0,32.9,11.0,12.0,13.0,69575.0,,,,,,,0.73,12.2,5.73,6.5,,,,,,,
1152,1992,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,,,,,,,,2.9,,15.45,12.6,,,,,,,
1153,1993,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,,,,,,,,2.75,,14.75,11.8,,,,,,,
1154,1994,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,,,,,,,,2.67,,-3.2,11.0,,,,,,,
1155,1995,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,,,,,,,,2.54,,39.92,8.6,,,,,,,
1156,1996,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,,,,,,,,3.32,,22.71,9.3,,,,,,,
1157,1997,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,,,,,,,,1.7,,21.64,8.4,,,,,,,
1158,1998,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,,,,,,,,1.61,,39.63,7.5,,,,,,,
1159,1999,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,,,,,,,,2.68,,85.59,7.4,,,,,,,
1160,2000,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,41184.0,Gore,G.W. Bush,120.3,186.5,0.0,0.0,3.39,18.6,-39.29,6.5,46.1,0.55,0.5195,0.6079,22.0,1.0,0.718879992843405
1161,2001,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,40116.0,,,,,,,1.55,17.2,-21.05,6.1,46.425,,,,,,
1162,2002,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,43773.0,,,,,,,2.38,17.2,-31.53,6.4,46.75,,,,,,
1163,2003,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,43415.0,,,,,,,1.88,18.5,50.01,6.8,47.075,,,,,,
1164,2004,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,45858.0,Kerry,G.W. Bush,332.7,355.0,0.0,0.0,3.26,17.9,8.59,6.3,47.2375,0.51,0.5264,0.5162,31.0,1.0,0.699042756860243
1165,2005,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,46824.0,,,,,,,3.42,18.0,1.37,5.8,47.4,,,,,,
1166,2006,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,49885.0,,,,,,,2.54,17.3,9.52,5.2,47.5625,,,,,,
1167,2007,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,43363.0,,,,,,,4.08,16.9,9.81,5.1,47.725,,,,,,
1168,2008,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,46373.0,Obama,McCain,760.4,239.7,0.0,0.0,0.09,17.0,-40.54,5.1,48.05,0.49,0.4644,0.2397,29.0,1.0,0.716493460878907
1169,2009,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,48198.0,,,,,,,2.72,17.7,43.89,6.5,48.375,,,,,,
1170,2010,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,45680.0,,,,,,,1.5,18.1,16.91,9.4,48.7,,,,,,
1171,2011,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,46586.0,,,,,,,2.96,18.6,-1.8,9.6,,,,,,,
1172,2012,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,42415.0,Obama,Romney,737.1,458.7,70.5,143.3,1.74,17.8,15.91,8.1,,0.51,0.5563,0.396,31.0,1.0,0.737483647237162
1173,2013,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,45395.0,,,,,,,1.5,18.5,38.32,8.2,,,,,,,
1174,2014,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,40994.0,,,,,,,0.76,18.3,13.4,7.7,,,,,,,
1175,2015,West Virginia,85.0,42.0,19.2,50.0,7.4,50.0,44309.0,,,,,,,0.73,17.9,5.73,7.4,,,,,,,
1176,1992,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,,,,,,,,2.9,,15.45,5.8,,,,,,,
1177,1993,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,,,,,,,,2.75,,14.75,5.1,,,,,,,
1178,1994,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,,,,,,,,2.67,,-3.2,5.7,,,,,,,
1179,1995,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,,,,,,,,2.54,,39.92,4.5,,,,,,,
1180,1996,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,,,,,,,,3.32,,22.71,4.5,,,,,,,
1181,1997,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,,,,,,,,1.7,,21.64,4.4,,,,,,,
1182,1998,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,,,,,,,,1.61,,39.63,3.9,,,,,,,
1183,1999,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,,,,,,,,2.68,,85.59,4.0,,,,,,,
1184,2000,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,62937.0,Gore,G.W. Bush,120.3,186.5,0.0,0.0,3.39,8.9,-39.29,3.8,68.3,0.55,0.5195,0.6079,54.0,0.0,0.937312698483696
1185,2001,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,62721.0,,,,,,,1.55,9.8,-21.05,4.5,68.5375,,,,,,
1186,2002,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,61818.0,,,,,,,2.38,9.7,-31.53,6.1,68.775,,,,,,
1187,2003,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,59493.0,,,,,,,1.88,10.5,50.01,6.4,69.0125,,,,,,
1188,2004,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,56182.0,Kerry,G.W. Bush,332.7,355.0,0.0,0.0,3.26,10.7,8.59,6.0,69.13125,0.51,0.5264,0.5162,58.0,0.0,0.945649861731546
1189,2005,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,63001.0,,,,,,,3.42,10.2,1.37,5.5,69.25,,,,,,
1190,2006,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,60771.0,,,,,,,2.54,11.0,9.52,5.2,69.36875,,,,,,
1191,2007,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,58436.0,,,,,,,4.08,10.8,9.81,5.5,69.4875,,,,,,
1192,2008,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,58682.0,Obama,McCain,760.4,239.7,0.0,0.0,0.09,10.4,-40.54,5.2,69.725,0.49,0.4644,0.2397,51.0,0.0,0.9219231007623809
1193,2009,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,56731.0,,,,,,,2.72,12.4,43.89,7.7,69.9625,,,,,,
1194,2010,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,56862.0,,,,,,,1.5,13.2,16.91,10.1,70.2,,,,,,
1195,2011,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,56775.0,,,,,,,2.96,13.1,-1.8,8.8,,,,,,,
1196,2012,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,58243.0,Obama,Romney,737.1,458.7,70.5,143.3,1.74,13.2,15.91,7.9,,0.51,0.5563,0.396,58.0,0.0,0.942334447743838
1197,2013,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,54520.0,,,,,,,1.5,13.5,38.32,7.8,,,,,,,
1198,2014,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,60198.0,,,,,,,0.76,13.2,13.4,6.4,,,,,,,
1199,2015,Wisconsin,91.0,11.0,27.8,27.0,9.4,33.0,57347.0,,,,,,,0.73,12.1,5.73,5.4,,,,,,,
1200,1992,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,,,,,,,,2.9,,15.45,7.2,,,,,,,
1201,1993,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,,,,,,,,2.75,,14.75,6.5,,,,,,,
1202,1994,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,,,,,,,,2.67,,-3.2,6.6,,,,,,,
1203,1995,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,,,,,,,,2.54,,39.92,6.0,,,,,,,
1204,1996,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,,,,,,,,3.32,,22.71,6.0,,,,,,,
1205,1997,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,,,,,,,,1.7,,21.64,6.4,,,,,,,
1206,1998,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,,,,,,,,1.61,,39.63,5.7,,,,,,,
1207,1999,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,,,,,,,,2.68,,85.59,6.0,,,,,,,
1208,2000,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,55127.0,Gore,G.W. Bush,120.3,186.5,0.0,0.0,3.39,11.4,-39.29,5.1,65.1,0.55,0.5195,0.6079,70.0,1.0,1.1364225969495
1209,2001,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,54332.0,,,,,,,1.55,11.4,-21.05,4.8,65.0625,,,,,,
1210,2002,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,56855.0,,,,,,,2.38,11.0,-31.53,4.8,65.025,,,,,,
1211,2003,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,59057.0,,,,,,,1.88,9.7,50.01,5.4,64.9875,,,,,,
1212,2004,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,56268.0,Kerry,G.W. Bush,332.7,355.0,0.0,0.0,3.26,10.3,8.59,4.9,64.96875,0.51,0.5264,0.5162,73.0,1.0,1.1880025526483702
1213,2005,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,57332.0,,,,,,,3.42,9.5,1.37,4.4,64.95,,,,,,
1214,2006,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,57769.0,,,,,,,2.54,9.4,9.52,4.1,64.93125,,,,,,
1215,2007,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,60875.0,,,,,,,4.08,8.7,9.81,3.5,64.9125,,,,,,
1216,2008,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,60094.0,Obama,McCain,760.4,239.7,0.0,0.0,0.09,9.4,-40.54,3.7,64.875,0.49,0.4644,0.2397,73.0,1.0,1.4293506332513801
1217,2009,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,58816.0,,,,,,,2.72,9.8,43.89,5.2,64.8375,,,,,,
1218,2010,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,59539.0,,,,,,,1.5,11.2,16.91,8.1,64.8,,,,,,
1219,2011,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,61517.0,,,,,,,2.96,11.3,-1.8,7.2,,,,,,,
1220,2012,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,58709.0,Obama,Romney,737.1,458.7,70.5,143.3,1.74,12.6,15.91,6.5,,0.51,0.5563,0.396,84.0,1.0,1.2613742550408
1221,2013,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,71084.0,,,,,,,1.5,10.9,38.32,6.1,,,,,,,
1222,2014,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,57721.0,,,,,,,0.76,11.2,13.4,5.3,,,,,,,
1223,2015,Wyoming,92.3,3.0,25.7,40.0,8.6,40.0,63038.0,,,,,,,0.73,11.1,5.73,4.6,,,,,,,
