year,state,hs_grad,bachelors,adv_degree,media houdhold income,rep_spending,dem_spending,inflation_rate,poverty_rate,stock_change,unemployment_rate,perc_urban,rep_sen,rep_house,campaign_fund,rep_legis,stateGDP,rep_win
2000,Oregon,85.12610851,25.08069754,8.676773591,60665,262.033,169.022,3.39,13.2,-39.29,5.8,78.7,0.55,0.5195,0.6079,57,0.854162007,0
2000,Pennsylvania,81.90111784,22.35140965,8.398550062,60204,262.033,169.022,3.39,10.5,-39.29,4.7,77.1,0.55,0.5195,0.6079,53,0.936105023,0
2000,Rhode Island,77.9596961,25.60090876,9.738645182,60234,262.033,169.022,3.39,10.7,-39.29,5.2,90.9,0.55,0.5195,0.6079,14,0.925772689,0
2000,South Carolina,76.33757189,20.41806465,6.877053632,53629,262.033,169.022,3.39,14.4,-39.29,4.3,60.5,0.55,0.5195,0.6079,53,0.806682471,1
2000,South Dakota,84.5728657,21.50523127,5.997356433,52066,262.033,169.022,3.39,11.5,-39.29,3.1,51.9,0.55,0.5195,0.6079,70,0.796193586,1
2000,Tennessee,75.92252775,19.56480872,6.788515026,48670,262.033,169.022,3.39,13.5,8.59,3.9,63.6,0.51,0.5264,0.6079,42,0.869794695,1
2000,Texas,75.65016766,23.23757223,7.630765108,55112,262.033,169.022,3.39,15.1,-39.29,4.8,82.5,0.55,0.5195,0.6079,49,0.99369325,1
2000,Utah,87.72752469,26.12614493,8.264851923,67875,262.033,169.022,3.39,8.8,-39.29,3.4,88.2,0.55,0.5195,0.6079,69,0.865388916,1
2000,Vermont,86.41937742,29.4453804,11.10797753,56518,262.033,169.022,3.39,10.7,-39.29,3.4,38.2,0.55,0.5195,0.6079,44,0.819027598,0
2000,Virginia,81.47227495,29.46461365,11.57116548,67322,262.033,169.022,3.39,9.2,-39.29,2.9,73,0.55,0.5195,0.6079,52,1.058124972,1
2000,Washington,87.08464805,27.73149729,9.316743248,60702,262.033,169.022,3.39,11.6,-39.29,5.7,82,0.55,0.5195,0.6079,48,1.119626962,0
2000,West Virginia,75.20924852,14.83161625,5.942779599,41982,262.033,169.022,3.39,18.6,-39.29,6.5,46.1,0.55,0.5195,0.6079,22,0.718879993,1
2000,Wisconsin,85.08529356,22.41945776,7.163801491,64360,262.033,169.022,3.39,8.9,-39.29,3.8,68.3,0.55,0.5195,0.6079,54,0.937312698,0
2000,Wyoming,87.86142183,21.91007499,6.999870115,56568,262.033,169.022,3.39,11.4,-39.29,5.1,65.1,0.55,0.5195,0.6079,70,1.136422597,1
2004,Alabama,82.4,22.3,7.7,47651,452.98,424.526,3.26,16.1,8.59,6.4,56.975,0.51,0.5264,0.5162,37,0.780727505,1
2004,Alaska,90.2,25.5,9.5,71632,452.98,424.526,3.26,8.2,8.59,8.8,65.775,0.51,0.5264,0.5162,63,1.27923846,1
2004,Arizona,84.4,28,9.2,57039,452.98,424.526,3.26,14.2,8.59,5.5,88.9,0.51,0.5264,0.5162,62,0.873495001,1
